English Name,Website
"HCMC University of Theatre and Cinema",http://skdahcm.edu.vn/
"Thanh Hoa University of Culture, Sports and Tourism",https://tucst.edu.vn/
"Univeristy of Law, Hue University",https://www.hul.edu.vn/
"University of Agriculture and Forestry - Thai Nguyen University",https://tuaf.edu.vn/
"University of Agriculture and Forestry, Hue University",https://huaf.edu.vn/
"University of Arts, Hue University",http://hufa.hueuni.edu.vn/
"University of Economic and Business Administration - Thai Nguyen University",http://tueba.edu.vn/
"University of Economics - The University of Da Nang",https://due.udn.vn
"University of Economics, Hue University",https://hce.edu.vn
"University of Education - Thai Nguyen University",http://tnue.edu.vn/
"University of Education, Hue University",http://www.dhsphue.edu.vn/
"University of Foreign Language Studies - The University of Da Nang",http://ufl.udn.vn/
"University of Information and Communication Technology - Thai Nguyen University",https://ictu.edu.vn/
"University of Medicine and Pharmacy - Thai Nguyen University",http://tump.edu.vn/
"University of Medicine and Pharmacy, Hue University",https://huemed-univ.edu.vn/
"University of Science and Education - The University of Da Nang",https://ued.udn.vn/
"University of Science and Technology - The University of Da Nang",http://en.dut.udn.vn/
"University of Sciences - Thai Nguyen University",https://tnus.edu.vn/
"University of Sciences, Hue University",http://husc.hueuni.edu.vn/
"University of Technology - Thai Nguyen University",http://www.tnut.edu.vn/
"University of Technology and Education - The University of Da Nang",https://ute.udn.vn/
"Viet Nam Institute of Industrial and Trade Policy and Strategy - VIOIT",https://vioit.moit.gov.vn/
"Vietnam - Korea University of Information and Communication Technology - The University of Da Nang",http://vku.udn.vn/
"Vietnam Institute of Meteorology, Hydrology and Climate Change",http://www.imh.ac.vn/
"Vietnam Institute of Science Technology and Innovation",http://visti.gov.vn/
"Vietnam National University, Hanoi",https://vnu.edu.vn/
"Vietnam National University, Ho Chi Minh City",https://vnuhcm.edu.vn/
"Vietnam Research Institute of Electronics, Informatics and Automation",https://www.vielina.com/
Academy of Finance,https://hvtc.edu.vn/
Academy of Journalism and Communication,https://ajc.hcma.vn/
Academy of Policy and Development,http://apd.edu.vn/
Academy of Politics - Public Administration Region I,https://hcma1.hcma.vn
Asia University of Art & Design,https://cmc-u.edu.vn/
Ba Ria - Vung Tau University,https://bvu.edu.vn/
Bac Giang Argriculture and Forestry University,http://bafu.edu.vn/
Bac Ha International University,http://iubh.edu.vn/
Bac Lieu University,https://blu.edu.vn/
Bac Ninh Sport University of Viet Nam,http://upes1.edu.vn/
Banking Academy of Vietnam,https://www.hvnh.edu.vn/
Binh Duong Economics and Technology University,https://ktkt.edu.vn/
Binh Duong University,https://www.bdu.edu.vn/
British University Viet Nam,https://www.buv.edu.vn/
Buon Ma Thuot University,https://bmu.edu.vn/
Can Tho University,https://www.ctu.edu.vn/
Can Tho University of Medicine - Pharmacy,http://www.ctump.edu.vn/
Can Tho University of Technology,https://ctuet.edu.vn/
Central Institute for Economic Management (CIEM),https://ipss.vn/
Chu Van An University,https://cvauni.edu.vn/
Cuu Long University,http://mku.edu.vn/
Da Lat College of Education,https://cddl.edu.vn/
Da Lat University,https://dlu.edu.vn/
Da Nang University of Physical Education and Sports,https://dsu.edu.vn/
Dai Nam University,http://www.dainam.edu.vn/
Danang Architecture University,https://dau.edu.vn/
Danang University of Medical Technology and Pharmacy,http://dhktyduocdn.edu.vn/
Diplomatic Academy of Viet Nam,https://dav.edu.vn
Dong A University,https://donga.edu.vn/
Dong Do University,http://www.hdiu.edu.vn/
Dong Nai University,http://www.dnpu.edu.vn/
Dong Nai University of Technology,https://dntu.edu.vn/
Dong Thap University,https://www.dthu.edu.vn/
Duy Tan University,https://duytan.edu.vn/
East Asia University of Technology,https://eaut.edu.vn/
Eastern International University,https://eiu.edu.vn/
Electric Power University,https://www.epu.edu.vn/
FPT University,https://daihoc.fpt.edu.vn/
Food Industry Research Institute,https://firi.vn/
Foreign Trade University,http://www.ftu.edu.vn/
Fulbright University Vietnam,https://fulbright.edu.vn/
Gia Dinh University,https://giadinh.edu.vn/
Graduate Academy of Social Sciences,https://gass.edu.vn/
HCMC University of Technology and Education,http://hcmute.edu.vn/
Ha Hoa Tien University,https://hahoatien.edu.vn/
Ha Long University,https://uhl.edu.vn/
Ha Tinh University,http://www.htu.edu.vn/
Hai Duong Medical Technical University,http://www.hmtu.edu.vn/
Hai Phong Medical University,http://hpmu.edu.vn/hpmu/
Hai Phong University,https://dhhp.edu.vn/
Hanoi Academy of Theatre and Cinema,http://skda.edu.vn/
Hanoi Achitectural University,http://hau.edu.vn/
Hanoi Financial and Banking University,https://fbu.edu.vn/
Hanoi Industrial Textile Garment University,http://hict.edu.vn/
Hanoi Law University,https://hlu.edu.vn/
Hanoi Medical University,https://hmu.edu.vn/
